mz,cluster,fold_change,p_adjusted,significant,fold_change_display,region_specific
716.150289054835,2,2.7753558,0.0,True,2.7753558,False
716.0923716651783,2,2.774502,0.0,True,2.774502,False
716.0996109546454,2,2.7739296,0.0,True,2.7739296,False
716.106850353891,2,2.7666225,0.0,True,2.7666225,False
716.1430489968724,2,2.766388,0.0,True,2.766388,False
716.1213294817261,2,2.766132,0.0,True,2.766132,False
716.1140898629171,2,2.7660177,0.0,True,2.7660177,False
716.1285692103202,2,2.7657232,0.0,True,2.7657232,False
716.1358090487015,2,2.7646441,0.0,True,2.7646441,False
716.1647695001442,2,2.7530162,0.0,True,2.7530162,False
852.0928451514911,2,2.5266714,0.0,True,2.5266714,False
852.1022418045337,2,2.4854944,0.0,True,2.4854944,False
852.1868186769797,2,2.446288,0.0,True,2.446288,False
852.1304326962953,2,2.442618,0.0,True,2.442618,False
852.1210355769324,2,2.441067,0.0,True,2.441067,False
852.1398299711052,2,2.4395134,0.0,True,2.4395134,False
852.1116386130129,2,2.4314275,0.0,True,2.4314275,False
852.1492274013656,2,2.4301403,0.0,True,2.4301403,False
852.1586249870797,2,2.4079943,0.0,True,2.4079943,False
580.1078557464725,2,2.391278,0.0,True,2.391278,False
852.1680227282512,2,2.3519936,0.0,True,2.3519936,False
852.1774206248833,2,2.3336093,0.0,True,2.3336093,False
716.0851324854874,2,2.2566066,0.0,True,2.2566066,False
716.1720098874953,2,2.2174666,0.0,True,2.2174666,False
988.150238249201,2,2.0936687,0.0,True,2.0936687,False
988.1619731018404,2,2.092359,0.0,True,2.092359,False
988.1385036055954,2,2.0894082,0.0,True,2.0894082,False
988.1737081635182,2,2.0853987,0.0,True,2.0853987,False
988.1267691710184,2,2.0684407,0.0,True,2.0684407,False
988.1854434342396,2,2.0555763,0.0,True,2.0555763,False
988.2089146028328,2,2.031111,0.0,True,2.031111,False
988.1971789140094,2,2.0229316,0.0,True,2.0229316,False
988.1150349454649,2,2.008071,0.0,True,2.008071,False
988.1033009289303,2,1.9310043,0.0,True,1.9310043,False
747.1770924891719,2,1.6878855,5.811027949288407e-33,True,1.6878855,False
444.0892518422045,2,1.6578329,0.0,True,1.6578329,False
747.1693768647791,2,1.5254618,2.3161098197308724e-32,True,1.5254618,False
