mz,cluster,fold_change,p_value,p_adjusted,significant
790.8530179837829,0,0.124,1.0,1.0,False
790.8614200537032,0,0.0484,1.0,1.0,False
790.8698222575206,0,0.0225,1.0,1.0,False
790.8782245952377,0,0.0351,1.0,1.0,False
790.8866270668576,0,0.1796,1.0,1.0,False
790.895029672383,0,0.9435,1.0,1.0,False
790.9034324118169,0,3.5114,1.0,1.0,False
790.9118352851619,0,5.1216,1.0,1.0,False
812.9578263367223,0,0.9143,1.0,1.0,False
812.9665831224094,0,0.25,1.0,1.0,False
812.9753400495831,0,0.1126,1.0,1.0,False
812.9840971182466,0,0.0741,1.0,1.0,False
812.9928543284028,0,0.0627,1.0,1.0,False
813.0016116800549,0,0.0642,1.0,1.0,False
813.0103691732058,0,0.0834,1.0,1.0,False
813.0191268078587,0,0.1825,1.0,1.0,False
813.0278845840165,0,0.6026,1.0,1.0,False
813.0366425016823,0,2.0031,1.0,1.0,False
852.0928451514911,0,0.1697,1.0,1.0,False
852.1022418045337,0,0.0715,1.0,1.0,False
852.1116386130129,0,0.0734,1.0,1.0,False
852.1210355769324,0,0.0831,1.0,1.0,False
852.1304326962953,0,0.0842,1.0,1.0,False
852.1398299711052,0,0.0837,1.0,1.0,False
852.1492274013656,0,0.0822,1.0,1.0,False
852.1586249870797,0,0.0771,1.0,1.0,False
852.1680227282512,0,0.0619,1.0,1.0,False
852.1774206248833,0,0.0597,1.0,1.0,False
852.1868186769797,0,0.1173,1.0,1.0,False
852.1962168845434,0,1.1922,1.0,1.0,False
988.0915671214094,0,1.5413,1.0,1.0,False
988.1033009289303,0,0.1876,1.0,1.0,False
988.1150349454649,0,0.047,1.0,1.0,False
988.1267691710184,0,0.0272,1.0,1.0,False
988.1385036055954,0,0.022,1.0,1.0,False
988.150238249201,0,0.0208,1.0,1.0,False
988.1619731018404,0,0.0203,1.0,1.0,False
988.1737081635182,0,0.0198,1.0,1.0,False
988.1854434342396,0,0.0231,1.0,1.0,False
988.1971789140094,0,0.0418,1.0,1.0,False
988.2089146028328,0,0.1617,1.0,1.0,False
988.2206505007146,0,1.2832,1.0,1.0,False
404.11113251199816,1,0.1401,1.0,0.0,True
426.92781535359995,1,10.0595,0.0,0.0,True
